dim,bits,var,dp_mse,lloyd_mse,ratio,k_dp,k_lloyd
26,8,0.005556069780141115,2.1109121917106677e-07,2.2932721321922145e-07,1.0863891644558477,256,256
27,1,0.005472803488373756,0.001988248433917761,0.001988248433917761,1.0,2,2
27,2,0.005472803488373756,0.0006397495162673295,0.0006397495162673295,1.0,4,4
27,3,0.005472803488373756,0.00018820630793925375,0.00018834527872968465,1.000738396029084,8,8
27,4,0.005472803488373756,5.0609291065484285e-05,5.0942995585501194e-05,1.0065937402597702,16,16
27,5,0.005472803488373756,1.3330214642337523e-05,1.3471650163410231e-05,1.0106101458129189,32,32
27,6,0.005472803488373756,3.387213837413583e-06,3.4793649774655933e-06,1.027205586796485,64,64
27,7,0.005472803488373756,8.32153887131426e-07,8.849957566781086e-07,1.0635001174227972,128,128
27,8,0.005472803488373756,2.0350351803699596e-07,2.2053924908504996e-07,1.0837122188961716,256,256
28,1,0.005399995017796755,0.001962959300726652,0.001962959300726652,1.0,2,2
28,2,0.005399995017796755,0.0006312078330665827,0.0006312077166512609,0.9999998155673683,4,4
28,3,0.005399995017796755,0.00018418840772937983,0.0001842532801674679,1.000352206954215,8,8
28,4,0.005399995017796755,5.0141810788773e-05,5.065257937530987e-05,1.0101864806735545,16,16
28,5,0.005399995017796755,1.3121694792062044e-05,1.3696160749532282e-05,1.043779859734107,32,32
28,6,0.005399995017796755,3.311223053970025e-06,3.4709162264334736e-06,1.0482278511174241,64,64
28,7,0.005399995017796755,8.280009637928742e-07,8.664279675940634e-07,1.0464093708601065,128,128
28,8,0.005399995017796755,2.030623278415078e-07,2.195987747199979e-07,1.0814353260610554,256,256
29,1,0.005234717857092619,0.0019142586970701814,0.0019142586970701814,1.0,2,2
29,2,0.005234717857092619,0.0006157668540254235,0.0006157671450637281,1.000000472643668,4,4
29,3,0.005234717857092619,0.00017852558812592179,0.00017855908663477749,1.000187639817952,8,8
29,4,0.005234717857092619,4.8765676183393225e-05,4.9155420128954574e-05,1.0079921776147558,16,16
29,5,0.005234717857092619,1.2576721928780898e-05,1.2872512343164999e-05,1.0235188800435515,32,32
29,6,0.005234717857092619,3.2144196211447706e-06,3.3177825571328867e-06,1.0321560182460885,64,64
29,7,0.005234717857092619,8.004160463315202e-07,8.630741490378568e-07,1.0782819172522993,128,128
29,8,0.005234717857092619,1.947028778204185e-07,2.149218829572419e-07,1.103845435481812,256,256
30,1,0.005134990438818932,0.0018415766535326838,0.0018415766535326838,1.0,2,2
30,2,0.005134990438818932,0.0005878949887119234,0.0005878953379578888,1.0000005940618175,4,4
30,3,0.005134990438818932,0.00017231088713742793,0.00017233756079804152,1.0001547996244273,8,8
30,4,0.005134990438818932,4.672495924751274e-05,4.719564094557427e-05,1.010073453367144,16,16
30,5,0.005134990438818932,1.2195275303383823e-05,1.269438234885456e-05,1.0409262630858567,32,32
30,6,0.005134990438818932,3.1160957405518275e-06,3.1670624593971297e-06,1.0163559540812686,64,64
30,7,0.005134990438818932,7.730474749223504e-07,8.221866210078588e-07,1.0635654958842524,128,128
30,8,0.005134990438818932,1.8872860607643815e-07,2.0446333337531541e-07,1.0833722434875848,256,256
31,1,0.005036957561969757,0.001830747351050377,0.001830747351050377,1.0,2,2
31,2,0.005036957561969757,0.0005932279163971543,0.0005932279163971543,1.0,4,4
31,3,0.005036957561969757,0.0001718739658826962,0.00017195692635141313,1.000482681994861,8,8
31,4,0.005036957561969757,4.6656907215947285e-05,4.676307435147464e-05,1.0022754859218588,16,16
31,5,0.005036957561969757,1.2271171726752073e-05,1.2674257050093729e-05,1.0328481527532452,32,32
31,6,0.005036957561969757,3.100844878645148e-06,3.157707624268369e-06,1.0183378233509268,64,64
31,7,0.005036957561969757,7.784113904563128e-07,8.206643542507663e-07,1.0542810194101662,128,128
31,8,0.005036957561969757,1.887190279603601e-07,2.0598618277745118e-07,1.0914966286320529,256,256
32,1,0.0049806698225438595,0.0018058978021144867,0.0018058978021144867,1.0,2,2
32,2,0.0049806698225438595,0.0005781263462267816,0.0005781264626421034,1.0000002013665743,4,4
32,3,0.0049806698225438595,0.0001698799169389531,0.00017002839013002813,1.0008739890726952,8,8
32,4,0.0049806698225438595,4.633470962289721e-05,4.6580204070778564e-05,1.0052982839404705,16,16
32,5,0.0049806698225438595,1.2234819223522209e-05,1.2763814083882608e-05,1.0432368350276375,32,32
32,6,0.0049806698225438595,3.0988746857474325e-06,3.191049472661689e-06,1.0297445996568346,64,64
32,7,0.0049806698225438595,7.671901585126761e-07,8.012348189367913e-07,1.0443757783469436,128,128
32,8,0.0049806698225438595,1.8671767065825406e-07,2.0396733191319072e-07,1.0923836570696535,256,256
33,1,0.004834040068089962,0.001768573303706944,0.001768573303706944,1.0,2,2
33,2,0.004834040068089962,0.0005772854783572257,0.0005772854783572257,1.0,4,4
33,3,0.004834040068089962,0.00017025692795868963,0.00017037836369127035,1.0007132498749782,8,8
33,4,0.004834040068089962,4.668006658903323e-05,4.7034431190695614e-05,1.0075913473899294,16,16
33,5,0.004834040068089962,1.2292911378608551e-05,1.2673453056777362e-05,1.0309561882005436,32,32
33,6,0.004834040068089962,3.0872076877130894e-06,3.1855854558671126e-06,1.0318662617178498,64,64
33,7,0.004834040068089962,7.673634172533639e-07,8.113393619169074e-07,1.0573078461584047,128,128
33,8,0.004834040068089962,1.863597702822517e-07,2.078975995800647e-07,1.1155712376399307,256,256
34,1,0.0047874716110527515,0.0017311244737356901,0.0017311243573203683,0.9999999327516169,2,2
34,2,0.0047874716110527515,0.0005522381397895515,0.0005522384308278561,1.000000527015944,4,4
34,3,0.0047874716110527515,0.00016102197696454823,0.0001610749022802338,1.0003286838025671,8,8
34,4,0.0047874716110527515,4.4317748688627034e-05,4.468014958547428e-05,1.0081773309243087,16,16
34,5,0.0047874716110527515,1.1556506251508836e-05,1.20850218081614e-05,1.0457331606240043,32,32
